Source,Sentiment,SentimentText
LinkedIn,4,"Many thanks for uploading Carol: at long last, an excellent, simple, alround introduction to AI"
LinkedIn,4,Great blog you have got here.. It’s difficult to find high quality writing like yours these days. I truly appreciate individuals like you!
LinkedIn,4,Hello! I love your slides and found them extremely informative!
LinkedIn,4,Great blog! The team at Jade Mountain Resort St Lucia love it and we have shared this internally. Look forward to more posts from you guys. 
LinkedIn,4,Very interesting. Thank You for this informative post. I learned alot.
LinkedIn,4,nice summary of Artificial Inteligence. Hope the Strong AI can be released soon so it can simplify the work of human
LinkedIn,4,Harry- A very nice presentation....Thanks for putting it on slideshare
LinkedIn,4,Excellent tips there my friend it really makes sense. This is what is working for me.
LinkedIn,4,Thanks for the insight! What do you interpret from the last 4 slides?
LinkedIn,4,"Thanks for amazing post, this really takes you to the next level"
LinkedIn,4,Wow I knew Google is a leader but numbers show me how big is Google.
LinkedIn,4,Good slideshare Google seriously needs some real competition.
LinkedIn,4,It's incredible how Google has conquered the world by offering free service to all!
LinkedIn,4,"Really impressive presentation, thanks learned some interesting points!"
LinkedIn,4,Amazing insights on what has happened in the past 6 months with Google. Thank you so much Rand and the Moz team for working hard to help us learn and improve our websites.
LinkedIn,4,Very interesting stats and information. The age of AI is most definitely upon us.
LinkedIn,4,Excellent tips there my friend it really makes sense. This is what is working for me. 
Capterra,4,"I love this tool. Piktochart is very intuitive and easy to use. It is especially useful to creating infographics or email banners. There is a decent level of functionality in terms of styling, colour, shapes, and transparency, with an excellent store of free images and graphics to use. You can also upload your own imagery as needed. Once you have your graphic elements chosen, it is very easy to adjust and manipulate them to create the effects you want. Our team uses this tool in place of a graphic designer for smaller projects."
Capterra,4,"The product is very easy to use. It has a decent catalog of free graphics to pull from which allows users to create visually engaging infographics, web ads, and banners. You can share or download what you've made with the click of a button. This tool is ideal for teams or departments needing basic design support without a graphic designer."
Capterra,4,"The best quality that this application has is the speed and simplicity of the application in letting you design any type of art you need at the moment. Having an easy access to the application through an email, being registered in the web page"
Capterra,4,"easiness to use, you can import data from excel or google sheets. High-quality pdf downloaded can be modified using another software (es. Illustrator), you can upload your own graphics, also to be used into graphs (svg), really great real-time customer care and troubleshooting support, many templates available."
Capterra,4," Seriously the best infographic creator out there. Piktochart got me through college! So easy to create really professional looking infographics - much better than trying to create one on Photoshop, in my opinion. The templates make it so easy to get a head start on a project and the text frames add such a splash of creativity. Love Piktochart!"
Capterra,4,The editor is very good since it provides guide lines that allow to align and adjust the elements. Has more options for editing the elements than other similar tools such as canva. It offers a variety of maps to place in the design and the possibility of adding data and legends. It allows you to include video files from YouTube and Vimeo. 
Capterra,4,"Once a presentation is published you can add transitions, I can also choose if only I can see the presentation or if I want to share it through social networks. 
allows download in png format to an acceptable quality in the free version."
Capterra,4,"It takes 0 design or dev experience to be able to jump into the tool and whip up a Grade A infographic is an hour or two. In a previous role, we were so efficient with it, we started building custom infographic plans for our customers."
Capterra,4,I love the access to the templates and icon library. The text frames are really cool as well to find new ways to make text visually attractive and include facts and figures.
Capterra,4,"I like the variety of templates as well as the ability to create my own templates for my documents. There is a wide variety of font choices, which I also appreciate. I can import my own graphics as well."
Capterra,4,"The layout is very simple to work with. As a first-time infographic creator, I've explored a variety of websites trying to find the simplest ones. This lands in the top 3. I was able to craft a infograph from a template in less than 30min, and it even allowed for me to make changes that suited my needs."
Capterra,4,"Wonderful infographics with very easy to align layout, great free design options and a very easy-to-use interface."
Capterra,4,"It is very easy to use, you learn in a very short time to use the functions of the program. It is free for most of the things that one needs to do, allows to easily make infographics, presentations, posters, flyers and reports, allows download in png format and share in social networks."
Capterra,4,This program allows us to create good quality infographics for presentations and social media quickly and completely.
Capterra,4,"It's wonderfully focused, allowing you to make some very impressive infographics without a bunch of unnecessary extra features that you'd never actually use."
Capterra,4,"You can add your own image as a background, you can add GIFs to presentations and work much better from Chrome or Firefox."
Capterra,4,My benefits in this software was the one that can be shared on social networks and I was able to add a lot of color and I liked that.
Capterra,4,What I liked most about this software called piktochart was that it did not feel overcrowded. I felt overcrowded using other infographic makers.
Capterra,4,I found it very easy to make good graphics. They make the templates very easy to fill in and make it look custom.
Capterra,4," It's very easy and very fast to use. Usually I have a rough idea in mind, and it took 5 minutes to look for a suitable template and another 5-10 minutes to fill in my data, adjust it (title, color etcetera) and download the final file to include it into my presentation. Of course, the templates are much more sophisticated than anything I could do by myself. "
Capterra,4,"I love Vizzlo! I started using it two years ago. I don't want to miss it anymore. Never since then, I even tried to build a business graphic in powerpoint. Vizzlo is my place to go if I need something that looks professional."
